Person:,Organization:
Mehdi S. M. Sajjadi,Max Planck Institute for Intelligent Systems
 Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany"
Fabian Pedregosa,UC Berkeley
 Gauthier Gidel,MILA
Jayadev Acharya,Cornell University
 Gautam Kamath,MIT
 Ziteng Sun,Cornell University
 Huanyu Zhang,Cornell University
Steve Huntsman,BAE Systems FAST Labs
Tom Rainforth,University of Oxford
 Rob Cornish,Oxford
 Hongseok Yang,KAIST
 andrew warrington,University of Oxford
 Frank Wood,University of Oxford
Sergey Ivanov,Skoltech & Criteo
 Evgeny Burnaev,Skoltech
Mingda Qiao,"IIIS, Tsinghua University"
Umut Simsekli,Telecom ParisTech
 Cagatay Yildiz,Aalto University
 Thanh Huy Nguyen,Telecom ParisTech
 Ali Cemgil,Bogazici University
 Gaël RICHARD,Télécom ParisTech
Amir Dezfouli,UNSW
 Edwin Bonilla,UNSW
 Richard Nock,"Data61, The Australian National University and the University of Sydney"
Tal Wagner,MIT
 Sudipto Guha,Amazon
 Shiva Kasiviswanathan,Amazon
 Nina Mishra,Amazon
Dimitrios Kalimeris,Harvard University
 Yaron Singer,Harvard
 Karthik Subbian,Facebook
 Udi Weinsberg,Facebook
Yaron Singer,Harvard
 Eric Balkanski,Harvard
 Nir Rosenfeld,Harvard University
 Amir Globerson,"Tel Aviv University, Google"
Eric Balkanski,Harvard
 Yaron Singer,Harvard
Weizhong Zhang,Tencent AI Lab
 Bin Hong,Zhejiang University
 Lin Ma,Tencent AI Lab
 Wei Liu,Tencent AI Lab
 Tong Zhang,Tecent AI Lab
Pengtao Xie,Carnegie Mellon University
 Wei Wu,Carnegie Mellon University
 Eric Xing,Carnegie Mellon University
Li Shen,Tencent AI Lab
 Peng Sun,Tencent AI Lab
 Yitong Wang,Tencent AI Lab
 Wei Liu,Tencent AI Lab
 Tong Zhang,Tecent AI Lab
Pengtao Xie,Carnegie Mellon University
 Hongbao Zhang,Petuum Inc
 Eric Xing,Carnegie Mellon University
Jeremias Knoblauch,Warwick University
 Theodoros Damoulas,University of Warwick
Duhyeon Bang,Yonsei univ.
 Hyunjung Shim,Yonsei University
Wenhan Luo,Tencent AI Lab
 Peng Sun,Tencent AI Lab
 Fangwei Zhong,Peking University
 Wei Liu,Tencent AI Lab
 Tong Zhang,Tecent AI Lab
 Yizhou Wang,Peking University
Xiaoyue Xi,Imperial College London
 Francois-Xavier Briol,University of Warwick
 Mark Girolami,Imperial College London
Zhihao Jia,Stanford University
 Sina Lin,Microsoft
 Charles Qi,Stanford University
 Alex Aiken,Stanford University
Xudong Pan,Fudan University
 Mi Zhang,Fudan University
 Daizong Ding,Fudan University
Cong Ma,Princeton University
 Kaizheng Wang,Princeton University
 Yuejie Chi,CMU
 Yuxin Chen,Princeton University
Jiasen Yang,Purdue University
 Qiang Liu,UT Austin
 Vinayak A Rao,Purdue University
 Jennifer Neville,Purdue University
Agniva Chowdhury,Purdue University
 Jiasen Yang,Purdue University
 Petros Drineas,Purdue University
Keegan Kang,Singapore University Of Technology And Design
 Wei Pin Wong,Singapore University of Technology and Design
Bo Zhao,Peking University
 Xinwei Sun,Peking University
 Yanwei Fu,Fudan university
 Yuan Yao,Hong Kong Science Tech
 Yizhou Wang,Peking University
Zhenyu Liao,"L2S, CentraleSupelec"
 Romain Couillet,CentralSupélec
chandrajit bajaj,University of Texas at Austin
 Tingran Gao,University of Chicago
 Zihang He,Tsinghua University
 Qixing Huang,The University of Texas at Austin
 Zhenxiao Liang,Tsinghua University
Lars Mescheder,MPI Tübingen
 Andreas Geiger,MPI-IS and University of Tuebingen
 Sebastian Nowozin,Microsoft Research
Tatsunori Taniai,RIKEN AIP
 Takanori Maehara,RIKEN AIP
Jiezhang Cao,South China University of Technology
 Yong Guo,South China University of Technology
 Chunhua Shen,University of Adelaide
 Qingyao Wu,South China University of Technology
 Mingkui Tan,South China University of Technology
Wengong Jin,MIT Computer Science and Artificial Intelligence Laboratory
 Regina Barzilay,MIT CSAIL
 Tommi Jaakkola,MIT
CMLA Thomas Moreau,"CMLA, ENS Paris-Saclay"
 Laurent Oudre,Universite Paris 13
 CMLA Nicolas Vayatis,"CMLA, ENS Paris Saclay"
Siyuan Qiao,Johns Hopkins University
 Zhishuai Zhang,Johns Hopkins University
 Wei Shen,Shanghai University
 Bo Wang,Hikvision Research Institue
 Alan Yuille,Johns Hopkins University
Niki Kilbertus,MPI Tübingen & Cambridge
 Adria Gascon,The Alan Turing Institute / Warwick University
 Matt Kusner,Alan Turing Institute
 Michael Veale,UCL
 Krishna Gummadi,MPI-SWS
 Adrian Weller,"University of Cambridge, Alan Turing Institute"
Krzysztof Choromanski,Google Brain Robotics
 Mark Rowland,University of Cambridge
 Vikas Sindhwani,Google
 Richard E Turner,University of Cambridge
 Adrian Weller,"University of Cambridge, Alan Turing Institute"
Tameem Adel,University of Cambridge
 Zoubin Ghahramani,University of Cambridge & Uber
 Adrian Weller,"University of Cambridge, Alan Turing Institute"
Shao-Hua Sun,University of Southern California
 Hyeonwoo Noh,POSTECH
 Sriram Somasundaram,University of Southern California
 Joseph Lim,Univ. of Southern California
Bing Su,Institute of Software Chinese Academy of Sciences
Alexey Drutsa,Yandex; MSU
Alan Kuhnle,University of Florida
 J. Smith,University of Florida
 Victoria Crawford,University of Florida
 My Thai,University of Florida
Erik Talvitie,Franklin & Marshall College
Ibrahim Alabdulmohsin,Saudi Aramco
Jingwei Zhuo,Tsinghua University
 Chang Liu,Tsinghua University
 Jiaxin Shi,Tsinghua University
 Jun Zhu,Tsinghua University
 Ning Chen,
