Person:,Organization:
Carsten Eickhoff,ETH Zurich
Yuqiu Qian,The University of Hong Kong
 Conghui Tan,The Chinese University of Hong Kong
 Nikos Mamoulis,University of Ioannina
 David W. Cheung,The University of Hong Kong
Alistair Moffat,The University of Melbourne
 Matthias Petri,The University of Melbourne
Tom Hope,Hebrew University of Jerusalem
 Dafna Shahaf,Hebrew University of Jerusalem
Meizi Zhou,JD.com
 Zhuoye Ding,JD.com
 Jiliang Tang,Michigan State University
 Dawei Yin,JD.com
Suhas Ranganath,ASU
 Ghazaleh Beigi,Arizona State University
 Huan Liu,Arizona State University
Longqi Yang,"Cornell Tech, Cornell University"
 Eugene Bagdasaryan,"Cornell Tech, Cornell University"
 Joshua Gruenstein,Massachusetts Institute of Technology
 Cheng-Kang Hsieh,"Cornell Tech, Cornell University"
 Deborah Estrin,"Cornell Tech, Cornell University"
Jianfei Yu,Singapore Management University
 Minghui Qiu,Alibaba Group
 Jing Jiang,Singapore Management University
 Shuangyong Song,Alibaba Group
 Jun Huang,Alibaba Group
 Wei Chu,Alibaba Group
 Haiqing Chen,Alibaba Group
Xiaohui Xie,Tsinghua University
 Yiqun Liu,Tsinghua University
 Maarten de Rijke,University of Amsterdam
 Jiyin He,Centrum Wiskunde & Informatica (CWI
 Min Zhang,Tsinghua University
 Shaoping Ma,Tsinghua University
Alexandre Gilotte,Criteo
 Clement Calauzenes,Criteo
 Thomas Nedelec,Criteo
 Alexandre Abraham,Criteo
 Simon Dollé,Criteo
Zachary Friggstad,University of Alberta
 Sreenivas Gollapudi,Google
 Kostas Kollias,Google
 Tamas Sarlos,Google
 Chaitanya Swamy,University of Waterloo
 Andrew Tomkins,Google
Iftah Gamzu,Amazon
 Liane Lewin-Eytan,Amazon
 Natalia Silberstein,Yahoo Research
Samaneh Ebrahimi,Georgia Institute of Technology
 Hossein Vahabi,Pandora Media Inc.
 Matthew Prockup,Pandora Media Inc.
 Oriol Nieto,Pandora Media Inc.
Jiezhong Qiu,Tsinghua University
 Yuxiao Dong,Microsoft
 Hao Ma,Microsoft
 Jian Li,Tsinghua University
 Kuansan Wang,Microsoft
 Jie Tang,Tsinghua University
Zihan Wang,"Data Science Lab, JD.com"
 Ziheng Jiang,"Data Science Lab, JD.com"
 Zhaochun Ren,"Data Science Lab, JD.com"
 Jiliang Tang,Michigan State University
 Dawei Yin,"Data Science Lab, JD.com"
Ning Su,Tsinghua University
 Jiyin He,CWI
 Yiqun Liu,Tsinghua University
 Min Zhang,Tsinghua University
 Shaoping Ma,Tsinghua University
Harshal Chaudhari,Boston University
 John Byers,Boston University
 Evimaria Terzi,Boston University
Parisa Kaghazgaran,Texas A&M University
 James Caverlee,Texas A&M University
 Anna Squicciarini,The Pennsylvania State University
Alex Beutel,Google
 Paul Covington,Google
 Sagar Jain,Google
 Can Xu,Google
 Jia Li,University of Illinois at Chicago
 Vince Gatto,Google
 Ed H. Chi,Google
Xuanhui Wang,Google
 Nadav Golbandi,Google
 Michael Bendersky,Google
 Donald Metzler,Google
 Marc Najork,Google
Ido Guy,eBay Research
 Victor Makarenkov,Ben-Gurion University of the Negev
 Niva Hazon,Ben-Gurion University of the Negev
 Lior Rokach,Ben-Gurion University of the Negev
 Bracha Shapira,Ben-Gurion University of the Negev
Jooyeon Kim,Korea Advanced Institute of Science and Technology
 Behzad Tabibian,Max Planck Institute for Intelligent Systems
 Alice Oh,Korea Advanced Institute of Science and Technology
 Bernhard Schölkopf,Max Planck Institute for Intelligent Systems
 Manuel Gomez Rodriguez,Max Planck Institute for Software Systems
Preethi Lahoti,Max Planck Institute for Informatics
 Kiran Garimella,Aalto University
 Aristides Gionis,Aalto University
Noriaki. K,The University of Tokyo
Xiao Huang,Texas A&M University
 Qingquan Song,Texas A&M University
 Jundong Li,Arizona State University
 Xia Ben Hu,Texas A&M University
Jiaxi Tang,Simon Fraser University
 Ke Wang,Simon Fraser University
Zhuyun Dai,Carnegie Mellon University
 Chenyan Xiong,Carnegie Mellon University
 Jamie Callan,Carnegie Mellon University
 Zhiyuan Liu,Tsinghua University
Yashoteja Prabhu,IIT Delhi
 Shilpa Gopinath,Samsung Research India
 Kunal Dahiya,IIT Delhi
 Anil Kag,Microsoft
 Shrutendra Harsola,Microsoft IDC Bangalore
 Rahul Agrawal,Microsoft IDC Bangalore
 Manik Varma,Microsoft
Djellel Difallah,New York University
 Elena Filatova,CUNY
 Panos Ipeirotis,New York University
Yi Tay,Nanyang Technological University
 Anh Tuan Luu,Institute for Infocomm Research
 Siu Cheung Hui,Nanyang Technological University
Dan Li,University of Amsterdam
 Evangelos Kanoulas,University of Amsterdam
Hongwei Wang,Shanghai Jiao Tong University
 Fuzheng Zhang,Microsoft
 Min Hou,University of Science and Technology of China
 Xing Xie,Microsoft
 Minyi Guo,Shanghai Jiao Tong University
 Qi Liu,USTC
Sheng Wang,RMIT University
 Zhifeng Bao,RMIT University
 Shixun Huang,RMIT University
 Rui Zhang,The University of Melbourne
Xu Chen,Tsinghua University
 Hongteng Xu,Georgia Institute of Technology
 Yongfeng Zhang,University of Massachusetts Amherst
 Yixin Cao,Tsinghua University
 Zheng Qin,Tsinghua University
 Jiaxi Tang,Simon Fraser University
 Hongyuan Zha,Georgia Institute of Technology
Kamran Ghasedi Dizaji,University of Pittsburgh
 Yanhua Yang,Xidian University
 Heng Huang,University of Pittsburgh
Armita Afsharinejad,"Insight Centre for Data Analytics, University College Dublin"
 Neil Hurley,"Insight Centre for Data Analytics, University College Dublin"
Jundong Li,Arizona State University
 Kewei Cheng,Arizona State University
 Liang Wu,Arizona State University
 Huan Liu,Arizona State University
