author,href
"<div class=""bibref"">
@InProceedings{Teney_2017_CVPR,<br>
author = {Teney, Damien and Liu, Lingqiao and van den Hengel, Anton},<br>
title = {Graph-Structured Representations for Visual Question Answering},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Teney_Graph-Structured_Representations_for_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Zhao_2017_CVPR,<br>
author = {Zhao, Hao and Lu, Ming and Yao, Anbang and Guo, Yiwen and Chen, Yurong and Zhang, Li},<br>
title = {Physics Inspired Optimization on Semantic Transfer Features: An Alternative Method for Room Layout Estimation},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Zhao_Physics_Inspired_Optimization_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Juefei-Xu_2017_CVPR,<br>
author = {Juefei-Xu, Felix and Naresh Boddeti, Vishnu and Savvides, Marios},<br>
title = {Local Binary Convolutional Neural Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Juefei-Xu_Local_Binary_Convolutional_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Aksoy_2017_CVPR,<br>
author = {Aksoy, Yagiz and Ozan Aydin, Tunc and Pollefeys, Marc},<br>
title = {Designing Effective Inter-Pixel Information Flow for Natural Image Matting},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Aksoy_Designing_Effective_Inter-Pixel_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Trigeorgis_2017_CVPR,<br>
author = {Trigeorgis, George and Snape, Patrick and Kokkinos, Iasonas and Zafeiriou, Stefanos},<br>
title = {Face Normals ""In-The-Wild"" Using Fully Convolutional Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Trigeorgis_Face_Normals_In-The-Wild_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Booth_2017_CVPR,<br>
author = {Booth, James and Antonakos, Epameinondas and Ploumpis, Stylianos and Trigeorgis, George and Panagakis, Yannis and Zafeiriou, Stefanos},<br>
title = {3D Face Morphable Models ""In-The-Wild""},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Booth_3D_Face_Morphable_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Adhikarla_2017_CVPR,<br>
author = {Kiran Adhikarla, Vamsi and Vinkler, Marek and Sumin, Denis and Mantiuk, Rafal K. and Myszkowski, Karol and Seidel, Hans-Peter and Didyk, Piotr},<br>
title = {Towards a Quality Metric for Dense Light Fields},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Adhikarla_Towards_a_Quality_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Kotaru_2017_CVPR,<br>
author = {Kotaru, Manikanta and Katti, Sachin},<br>
title = {Position Tracking for Virtual Reality Using Commodity WiFi},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Kotaru_Position_Tracking_for_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Tanaka_2017_CVPR,<br>
author = {Tanaka, Kenichiro and Mukaigawa, Yasuhiro and Funatomi, Takuya and Kubo, Hiroyuki and Matsushita, Yasuyuki and Yagi, Yasushi},<br>
title = {Material Classification Using Frequency- and Depth-Dependent Time-Of-Flight Distortion},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Tanaka_Material_Classification_Using_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Haeusser_2017_CVPR,<br>
author = {Haeusser, Philip and Mordvintsev, Alexander and Cremers, Daniel},<br>
title = {Learning by Association -- A Versatile Semi-Supervised Training Method for Neural Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Haeusser_Learning_by_Association_CVPR_2017_paper.pdf"">pdf</a>"
