authors,titles,hrefs
Chiheb Trabelsi · Olexa Bilaniuk · Ying Zhang · Dmitriy Serdyuk · Sandeep Subramanian · Joao Felipe Santos · Soroush Mehri · Negar Rostamzadeh · Yoshua Bengio · Christopher Pal,Deep Complex Networks,https://openreview.net/forum?id=H1T2hmZAb
Jiayuan Mao · Honghua Dong · Joseph J Lim,Universal Agent for Disentangling Environments and Tasks,https://openreview.net/forum?id=B1mvVm-C-
Xiang Wei · Boqing Gong · Zixia   Liu · Wei Lu · Liqiang Wang,Improving the Improved Training of Wasserstein GANs: A Consistency Term and Its Dual Effect,https://openreview.net/forum?id=SJx9GQb0-
Konrad Zolna · Devansh   Arpit · Dendi Suhubdy · Yoshua Bengio,Fraternal Dropout,https://openreview.net/forum?id=SJyVzQ-C-
Karol Hausman · Jost Tobias Springenberg · ziyu   wang · Nicolas   Heess · Martin   Riedmiller,Learning an Embedding Space for Transferable Robot Skills,https://openreview.net/forum?id=rk07ZXZRb
Praphruetpong Athiwaratkun · Andrew G Wilson,Hierarchical Density Order Embeddings,https://openreview.net/forum?id=HJCXZQbAZ
Antonio Polino · Razvan Pascanu · Dan   Alistarh,Model compression via distillation and quantization,https://openreview.net/forum?id=S1XolQbRW
abbas abdolmaleki · Jost Tobias Springenberg · Nicolas   Heess · Yuval Tassa · Remi Munos,Maximum a Posteriori Policy Optimisation,https://openreview.net/forum?id=S1ANxQW0b
William Fedus · Ian Goodfellow · Andrew Dai,MaskGAN: Better Text Generation via Filling in the _______,https://openreview.net/forum?id=ByOExmWAb
James Martens · Jimmy Ba · Matthew   Johnson,Kronecker-factored Curvature Approximations for Recurrent Neural Networks,https://openreview.net/forum?id=HyMTkQZAb
Nicolas Papernot · Shuang Song · Ilya Mironov · Ananth Raghunathan · Kunal   Talwar · Ulfar Erlingsson,Scalable Private Learning with PATE,https://openreview.net/forum?id=rkZB1XbRZ
Atilim Gunes Baydin · Robert   Cornish · David   Martínez · Mark Schmidt · Frank Wood,Online Learning Rate Adaptation with Hypergradient Descent,https://openreview.net/forum?id=BkrsAzWAb
Sjoerd van Steenkiste · Michael Chang · Klaus Greff · Jürgen Schmidhuber,Relational Neural Expectation Maximization: Unsupervised Discovery of Objects and their Interactions,https://openreview.net/forum?id=ryH20GbRW
Brandon Amos · Laurent   Dinh · Serkan Cabi · Thomas   Rothörl · Sergio Gómez Colmenarejo · Alistair M Muldal · Tom   Erez · Yuval Tassa · Nando d Freitas · Misha Denil,Learning Awareness Models,https://openreview.net/forum?id=r1HhRfWRZ
Henning   Petzka · Asja Fischer · Denis   Lukovnikov,On the regularization of Wasserstein GANs,https://openreview.net/forum?id=B1hYRMbCW
chaowei Xiao · Jun-Yan Zhu · Bo Li · Warren He · Mingyan   Liu · dawn song,Spatially Transformed Adversarial Examples,https://openreview.net/forum?id=HyydRMZC-
Wieland Brendel · Jonas Rauber ·  ,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,https://openreview.net/forum?id=SyZI0GWCZ
Hyeji Kim · Yihan Jiang · Ranvir B Rana · Sreeram Kannan · Sewoong Oh · Pramod Viswanath,Communication Algorithms via Deep Learning,https://openreview.net/forum?id=ryazCMbR-
Róbert   Torfason · Fabian Mentzer · Eirikur   Agustsson · Michael Tschannen · Radu Timofte · Luc V Gool,Towards Image Understanding from Deep Compression Without Decoding,https://openreview.net/forum?id=HkXWCMbRW
Guillaume Lample ·   · Ludovic Denoyer · Marc'Aurelio Ranzato,Unsupervised Machine Translation Using Monolingual Corpora Only,https://openreview.net/forum?id=rkYTTf-AZ
Bo Dai · Albert Shaw · Niao   He · Lihong Li · Le   Song,Boosting the Actor with Dual Critic,https://openreview.net/forum?id=BkUp6GZRW
Rui Shu · Hung H Bui · Hirokazu Narui · Stefano Ermon,A DIRT-T Approach to Unsupervised Domain Adaptation,https://openreview.net/forum?id=H1q-TM-AW
Dejiao Zhang · Haozhu Wang · Mario Figueiredo · Laura   Balzano,LEARNING TO SHARE: SIMULTANEOUS PARAMETER TYING AND SPARSIFICATION IN DEEP LEARNING,https://openreview.net/forum?id=rypT3fb0b
Roy Fox · Richard Shin · Sanjay   Krishnan · Ken Goldberg · dawn song · Ion Stoica,Parametrized Hierarchical Procedures for Neural Programming,https://openreview.net/forum?id=rJl63fZRb
Tuan Anh   Le · Maximilian Igl · Tom   Rainforth · Tom Jin · Frank Wood,Auto-Encoding Sequential Monte Carlo,https://openreview.net/forum?id=BJ8c3f-0b
Hanjun Dai · Yingtao Tian · Bo Dai · Steven Skiena · Le   Song,Syntax-Directed Variational Autoencoder for Structured Data,https://openreview.net/forum?id=SyqShMZRb
Saumya Jetley · Nicholas Lord · Namhoon Lee · Philip   Torr,Learn to Pay Attention,https://openreview.net/forum?id=HyzbhfWRW
David Rolnick · Max   Tegmark,The power of deeper networks for expressing natural functions,https://openreview.net/forum?id=SyProzZAW
Emmanuel d Bezenac · Arthur Pajot · gallinari patrick,Deep Learning for Physical Processes: Incorporating Prior Scientific Knowledge,https://openreview.net/forum?id=By4HsfWAZ
Hao Zhang · Bo Chen · Dandan Guo · Mingyuan Zhou,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,https://openreview.net/forum?id=S1cZsf-RW
Alex   Nowak · David Folqué Garcia · Joan   Bruna,Divide and Conquer Networks,https://openreview.net/forum?id=B1jscMbAW
Hanxiao Liu · Karen Simonyan · Oriol Vinyals · Chrisantha   Fernando · Koray   Kavukcuoglu,Hierarchical Representations for Efficient Architecture Search,https://openreview.net/forum?id=BJQRKzbA-
Rahul Kidambi · Praneeth Netrapalli · Prateek   Jain · Sham M Kakade,On the insufficiency of existing momentum schemes for Stochastic Optimization,https://openreview.net/forum?id=rJTutzbA-
Elliot Meyerson · Risto Miikkulainen,Beyond Shared Hierarchies: Deep Multitask Learning through Soft Layer Ordering,https://openreview.net/forum?id=BkXmYfbAZ
